,id,bufa_nr,name,street,house_number,postcode,city,email,contact_url
0,FA100,2317,Celle,Im Werder,15,29221,Celle,Poststelle@fa-ce.niedersachsen.de,
1,FA101,2318,Cuxhaven,Poststr.,81,27474,Cuxhaven,Poststelle@fa-cux.niedersachsen.de,
2,FA102,2319,Gifhorn,Braunschw. Str.,6,38518,Gifhorn,Poststelle@fa-gf.niedersachsen.de,
3,FA103,2320,Göttingen,Godehardstr.,6,37073,Göttingen,Poststelle@fa-goe.niedersachsen.de,
4,FA104,2321,Goslar-Bad Gandersheim,Wachtelpforte,40,38644,Goslar,Poststelle@fa-gs-gan.niedersachsen.de,
5,FA105,2322,Hameln,Süntelstraße,2,31785,Hameln,Poststelle@fa-hm.niedersachsen.de,
6,FA106,2323,Hannover-Land I,Göttinger Chaus.,83,30459,Hannover,Poststelle@fa-h-l1.niedersachsen.de,
7,FA107,2324,Hannover-Mitte,Lavesallee,10,30169,Hannover,Poststelle@fa-h-mi.niedersachsen.de,
8,FA108,2325,Hannover-Nord,Vahrenwalder Str.,206,30165,Hannover,Poststelle@fa-h-no.niedersachsen.de,
9,FA109,2326,Hannover-Süd,Göttinger Chaus.,83,30459,Hannover,Poststelle@fa-h-su.niedersachsen.de,
10,FA110,2327,Hannover-Land II,Vahrenwalder Str.,208,30165,Hannover,Poststelle@fa-h-l2.niedersachsen.de,
11,FA111,2328,Helmstedt,Ernst-Koch-Str.,3,38350,Helmstedt,Poststelle@fa-he.niedersachsen.de,
12,FA112,2329,Herzberg am Harz,Sieberstr.,1,37412,Herzberg,Poststelle@fa-hz.niedersachsen.de,
13,FA113,2330,Hildesheim-Alfeld,Kaiserstraße,47,31104,Hildesheim,Poststelle@fa-hi-alf.niedersachsen.de,
14,FA114,2331,Holzminden,Ernst-August-Str.,30,37603,Holzminden,Poststelle@fa-hol.niedersachsen.de,
15,FA116,2333,Lüneburg,Am Alt. Eisenwerk,4,21339,Lüneburg,Poststelle@fa-lg.niedersachsen.de,
16,FA117,2334,Nienburg/Weser,Schloßplatz,10,31582,Nienburg,Poststelle@fa-ni.niedersachsen.de,
17,FA118,2335,Northeim,Graf-Otto-Str.,31,37154,Northeim,Poststelle@fa-nom.niedersachsen.de,
18,FA119,2336,Osterholz-Scharmbeck,Pappstraße,2,27711,Osterholz-Scharmbeck,Poststelle@fa-ohz.niedersachsen.de,
19,FA120,2338,Peine,Duttenstedt.Str.,106,31224,Peine,Poststelle@fa-pe.niedersachsen.de,
20,FA121,2340,Rotenburg (Wümme),Hoffeldstr.,5,27356,Rotenburg,Poststelle@fa-row.niedersachsen.de,
21,FA122,2341,Soltau,Rühberg,16,29614,Soltau,Poststelle@fa-sol.niedersachsen.de,
22,FA123,2342,Hannover-Land I Außenstelle Springe,Bahnhofstr.,28,31832,Springe,Poststelle@fa-ast-spr.niedersachsen.de,
23,FA124,2343,Stade,Harburger Str.,113,21680,Stade,Poststelle@fa-std.niedersachsen.de,
24,FA125,2344,Stadthagen,Schloß,,31655,Stadthagen,Poststelle@fa-shg.niedersachsen.de,
25,FA126,2345,Sulingen,Hindenburgstr.,16,27232,Sulingen,Poststelle@fa-su.niedersachsen.de,
26,FA127,2346,Syke,Bürgerm.-Mävers-Str.,15,28857,Syke,Poststelle@fa-sy.niedersachsen.de,
27,FA128,2347,Uelzen-Lüchow,Am Königsberg,3,29525,Uelzen,Poststelle@fa-ue-luw.niedersachsen.de,
28,FA129,2348,Verden (Aller),Bremer Straße,4,27283,Verden,Poststelle@fa-ver.niedersachsen.de,
29,FA130,2349,Wesermünde,Borriesstr.,50,27570,Bremerhaven,Poststelle@fa-wem.niedersachsen.de,
30,FA131,2350,Winsen (Luhe),Von-Somnitz-Ring,6,21423,Winsen,Poststelle@fa-wl.niedersachsen.de,
31,FA132,2351,Wolfenbüttel,Jägerstr.,19,38304,Wolfenbüttel,Poststelle@fa-wf.niedersachsen.de,
32,FA133,2352,Zeven,Kastanienweg,1,27404,Zeven,Poststelle@fa-zev.niedersachsen.de,
33,FA134,2353,Papenburg,Emdener Straße,15,26871,Aschendorf,Poststelle@fa-pap.niedersachsen.de,
34,FA135,2354,Aurich,Hasseburger Str.,3,26603,Aurich,Poststelle@fa-aur.niedersachsen.de,
35,FA136,2355,Bad Bentheim,Heinrich-Böll-Str.,2,48455,Bad Bentheim,Poststelle@fa-ben.niedersachsen.de,
36,FA137,2356,Cloppenburg,Zur Basilika,1,49661,Cloppenburg,Poststelle@fa-clp.niedersachsen.de,
37,FA138,2357,Delmenhorst,Fr.-Ebert-Allee,15,27749,Delmenhorst,Poststelle@fa-del.niedersachsen.de,
38,FA139,2358,Emden,Ringstr.,5,26721,Emden,Poststelle@fa-emd.niedersachsen.de,
39,FA140,2360,Leer (Ostfriesland),Edzardstr.,12,26789,Leer,Poststelle@fa-ler.niedersachsen.de,
40,FA141,2361,Lingen (Ems),Mühlentorstr. ,16,49784,Lingen,Poststelle@fa-lin.niedersachsen.de,
41,FA142,2362,Norden,Mühlenweg,20,26506,Norden,Poststelle@fa-nor.niedersachsen.de,
42,FA143,2363,Nordenham,Plaatweg,1,26954,Nordenham,Poststelle@fa-nhm.niedersachsen.de,
43,FA144,2364,Oldenburg (Oldenburg),Stubbenweg,42,26125,Oldenburg,Poststelle@fa-ol.niedersachsen.de,
44,FA145,2365,Osnabrück-Land,Winkelhausenstraße,24,49090,Osnabrück,Poststelle@fa-os-l.niedersachsen.de,
45,FA146,2366,Osnabrück-Stadt,Süsterstr.,46,49074,Osnabrück,Poststelle@fa-os-s.niedersachsen.de,
46,FA147,2367,Quakenbrück,Lange Straße,37,49610,Quakenbrück,Poststelle@fa-qua.niedersachsen.de,
47,FA148,2368,Vechta,Rombergstr.,49,49377,Vechta,Poststelle@fa-vec.niedersachsen.de,
48,FA149,2369,Westerstede,Ammerlandallee,14,26655,Westerstede,Poststelle@fa-wst.niedersachsen.de,
49,FA150,2370,Wilhelmshaven,Rathausplatz,3,26382,Wilhelmshaven,Poststelle@fa-whv.niedersachsen.de,
50,FA151,2371,Wittmund,Harpertshausen.Str.,2,26409,Wittmund,Poststelle@fa-wtm.niedersachsen.de,
51,FA152,2380,Braunschweig für Großbetriebsprüfung,Theodor-Heuss-Str.,4,38122,Braunschweig,Poststelle@fa-gbp-bs.niedersachsen.de,
52,FA153,2381,Göttingen für Großbetriebsprüfung,Godehardstr.,6,37073,Göttingen,Poststelle@fa-gbp-goe.niedersachsen.de,
53,FA154,2382,Hannover für Großbetriebsprüfung,Bischofsholer Damm,19,30173,Hannover,Poststelle@fa-gbp-h.niedersachsen.de,
54,FA155,2384,Stade für Großbetriebsprüfung,Albert-Schweitzer-Straße,19,21680,Stade,Poststelle@fa-gbp-std.niedersachsen.de,
55,FA156,2385,Oldenburg für Großbetriebsprüfung,Georgstr.,36,26121,Oldenburg,Poststelle@fa-gbp-ol.niedersachsen.de,
